pagar,pago,pagas,paga,pagamos,pagáis,pagan,maksaa  ,0
parecer,parezco,pareces,parece,parecemos,parecéis,parecen,näyttää jltak; vaikuttaa,1
pedir,pido,pides,pide,pedimos,pedís,piden,pyytää; anoa ,1
pensar,pienso,piensas,piensa,pensamos,pensáis,piensan,ajatella; aikoa ,1
perder,pierdo,pierdes,pierde,perdemos,perdéis,pierden,menettää; kadottaa; hävittää,1
permitir,permito,permites,permite,permitimos,permitís,permiten,"luvata, sallia, antaa,",0
poder,puedo,puedes,puede,podemos,podéis,pueden,"voida, kyeta, pystyä",1
poner,pongo,pones,pone,ponemos,ponéis,ponen,pistää  ,1
preferir,prefiero,prefieres,prefiere,preferimos,preferís,prefieren,pitää parempana ,1
preguntar,pregunto,preguntas,pregunta,preguntamos,preguntáis,preguntan,kysyä  ,0
prestar,presto,prestas,presta,prestamos,prestáis,prestan,lainata  ,0
quedar,quedo,quedas,queda,quedamos,quedáis,quedan,jäädä jnnek/jäljelle; päättää;,0
querer,quiero,quieres,quiere,queremos,queréis,quieren,haluta; tahtoa ,1
recomendar,recomiendo,recomiendas,recomienda,recomendamos,recomendáis,recomiendan,suositella  ,1
recordar,recuerdo,recuerdas,recuerda,recordamos,recordáis,recuerdan,muistaa  ,1
reparar,reparo,reparas,repara,reparamos,reparáis,reparan,korjata  ,0
responder,respondo,respondes,responde,respondemos,respondéis,responden,vastata  ,0
romper,rompo,rompes,rompe,rompemos,rompéis,rompen,"rikkoa, särkeä; repiä",0
saber,sé,sabes,sabe,sabemos,sabéis,saben,tietää; osata ,1
salir,salgo,sales,sale,salimos,salís,salen,lähteä  ,1
sentir,siento,sientes,siente,sentimos,sentís,sienten,tuntea; aistia ,1
ser,soy,eres,es,somos,sois,son,olla  ,1
tener,tengo,tienes,tiene,tenemos,tenéis,tienen,olla; omistaa (verbi + que = täytyä),1
terminar,termino,terminas,termina,terminamos,termináis,terminan,lopettaa; saattaa päätökseen,0
tocar,toco,tocas,toca,tocamos,tocáis,tocan,"soittaa; koskettaa,… ",0
tomar,tomo,tomas,toma,tomamos,tomáis,toman,ottaa  ,0
trabajar,trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan,työskennellä  ,0
traducir,traduzco,traduces,traduce,traducimos,traducís,traducen,kääntää; vaihtaa ,1
traer,traigo,traes,trae,traemos,traéis,traen,"hakea, noutaa ",1
usar,uso,usas,usa,usamos,usáis,usan,käyttää  ,0
vender,vendo,vendes,vende,vendemos,vendéis,venden,myydä  ,0
ver,veo,ves,ve,vemos,veis,ven,nähdä  ,1
viajar,viajo,viajas,viaja,viajamos,viajáis,viajan,matkustaa  ,0
vivir,vivo,vives,vive,vivimos,vivís,viven,asua; elää ,0
volar,vuelo,vuelas,vuela,volamos,voláis,vuelan,lentää  ,1
volver,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven,palata; jättää ,1
